,TS代码,股票代码,股票名称,行业
1119,002673.SZ,002673,西部证券,证券
1120,002674.SZ,002674,兴业科技,纺织
1121,002675.SZ,002675,东诚药业,化学制药
1122,002676.SZ,002676,顺威股份,塑料
1123,002677.SZ,002677,浙江美大,家用电器
1124,002678.SZ,002678,珠江钢琴,文教休闲
1125,002679.SZ,002679,福建金森,林业
1126,002681.SZ,002681,奋达科技,家用电器
1127,002682.SZ,002682,龙洲股份,公路
1128,002683.SZ,002683,宏大爆破,化工原料
1129,002684.SZ,002684,*ST猛狮,电气设备
1130,002685.SZ,002685,华东重机,工程机械
1131,002686.SZ,002686,亿利达,专用机械
1132,002687.SZ,002687,乔治白,服饰
1133,002688.SZ,002688,金河生物,化学制药
1134,002689.SZ,002689,远大智能,运输设备
1135,002690.SZ,002690,美亚光电,专用机械
1136,002691.SZ,002691,冀凯股份,专用机械
1137,002692.SZ,002692,ST远程,电气设备
1138,002693.SZ,002693,双成药业,化学制药
1139,002694.SZ,002694,顾地科技,塑料
1140,002695.SZ,002695,煌上煌,食品
1141,002696.SZ,002696,百洋股份,渔业
1142,002697.SZ,002697,红旗连锁,超市连锁
1143,002698.SZ,002698,博实股份,化工机械
1144,002699.SZ,002699,美盛文化,影视音像
1145,002700.SZ,002700,ST浩源,供气供热
1146,002701.SZ,002701,奥瑞金,广告包装
1147,002702.SZ,002702,海欣食品,食品
1148,002703.SZ,002703,浙江世宝,汽车配件
1149,002705.SZ,002705,新宝股份,家用电器
1150,002706.SZ,002706,良信股份,电气设备
1151,002707.SZ,002707,众信旅游,旅游服务
1152,002708.SZ,002708,光洋股份,汽车配件
1153,002709.SZ,002709,天赐材料,化工原料
1154,002712.SZ,002712,思美传媒,广告包装
1155,002713.SZ,002713,东易日盛,装修装饰
1156,002714.SZ,002714,牧原股份,农业综合
1157,002715.SZ,002715,登云股份,汽车配件
1158,002716.SZ,002716,*ST金贵,小金属
1159,002717.SZ,002717,岭南股份,环境保护
1160,002718.SZ,002718,友邦吊顶,家居用品
1161,002719.SZ,002719,*ST麦趣,乳制品
1162,002721.SZ,002721,金一文化,服饰
1163,002722.SZ,002722,金轮股份,纺织机械
1164,002723.SZ,002723,金莱特,家用电器
1165,002724.SZ,002724,海洋王,半导体
1166,002725.SZ,002725,跃岭股份,汽车配件
1167,002726.SZ,002726,龙大肉食,食品
1168,002727.SZ,002727,一心堂,医药商业
1169,002728.SZ,002728,特一药业,中成药
1170,002729.SZ,002729,好利来,元器件
1171,002730.SZ,002730,电光科技,电气设备
1172,002731.SZ,002731,萃华珠宝,服饰
1173,002732.SZ,002732,燕塘乳业,乳制品
1174,002733.SZ,002733,雄韬股份,电气设备
1175,002734.SZ,002734,利民股份,农药化肥
1176,002735.SZ,002735,王子新材,塑料
1177,002736.SZ,002736,国信证券,证券
1178,002737.SZ,002737,葵花药业,中成药
1179,002738.SZ,002738,中矿资源,小金属
1180,002739.SZ,002739,万达电影,影视音像
1181,002740.SZ,002740,爱迪尔,服饰
1182,002741.SZ,002741,光华科技,化工原料
1183,002742.SZ,002742,三圣股份,其他建材
1184,002743.SZ,002743,富煌钢构,钢加工
1185,002745.SZ,002745,木林森,电气设备
1186,002746.SZ,002746,仙坛股份,农业综合
1187,002747.SZ,002747,埃斯顿,机械基件
1188,002748.SZ,002748,世龙实业,化工原料
1189,002749.SZ,002749,国光股份,农药化肥
1190,002750.SZ,002750,龙津药业,中成药
1191,002751.SZ,002751,易尚展示,家居用品
1192,002752.SZ,002752,昇兴股份,广告包装
1193,002753.SZ,002753,永东股份,化工原料
1194,002755.SZ,002755,奥赛康,化学制药
1195,002756.SZ,002756,永兴材料,特种钢
1196,002757.SZ,002757,南兴股份,专用机械
1197,002758.SZ,002758,浙农股份,医药商业
1198,002759.SZ,002759,天际股份,家用电器
1199,002760.SZ,002760,凤形股份,机械基件
1200,002761.SZ,002761,多喜爱,建筑工程
1201,002762.SZ,002762,金发拉比,服饰
1202,002763.SZ,002763,汇洁股份,服饰
1203,002765.SZ,002765,蓝黛科技,汽车配件
1204,002766.SZ,002766,*ST索菱,汽车配件
1205,002767.SZ,002767,先锋电子,电器仪表
1206,002768.SZ,002768,国恩股份,塑料
1207,002769.SZ,002769,普路通,仓储物流
1208,002770.SZ,002770,*ST科迪,乳制品
1209,002771.SZ,002771,真视通,软件服务
1210,002772.SZ,002772,众兴菌业,种植业
1211,002773.SZ,002773,康弘药业,化学制药
1212,002774.SZ,002774,快意电梯,运输设备
1213,002775.SZ,002775,文科园林,建筑工程
1214,002776.SZ,002776,ST柏龙,服饰
1215,002777.SZ,002777,久远银海,软件服务
1216,002778.SZ,002778,高科石化,石油加工
1217,002779.SZ,002779,中坚科技,农用机械
1218,002780.SZ,002780,三夫户外,其他商业
1219,002781.SZ,002781,奇信股份,装修装饰
1220,002782.SZ,002782,可立克,电气设备
1221,002783.SZ,002783,凯龙股份,化工原料
1222,002785.SZ,002785,万里石,其他建材
1223,002786.SZ,002786,银宝山新,专用机械
1224,002787.SZ,002787,华源控股,广告包装
1225,002788.SZ,002788,鹭燕医药,医药商业
1226,002789.SZ,002789,建艺集团,装修装饰
1227,002790.SZ,002790,瑞尔特,家居用品
1228,002791.SZ,002791,坚朗五金,其他建材
1229,002792.SZ,002792,通宇通讯,通信设备
1230,002793.SZ,002793,罗欣药业,化学制药
1231,002795.SZ,002795,永和智控,机械基件
1232,002796.SZ,002796,世嘉科技,通信设备
1233,002797.SZ,002797,第一创业,证券
1234,002798.SZ,002798,帝欧家居,家居用品
1235,002799.SZ,002799,环球印务,广告包装
1236,002800.SZ,002800,天顺股份,仓储物流
1237,002801.SZ,002801,微光股份,电气设备
1238,002802.SZ,002802,洪汇新材,化工原料
1239,002803.SZ,002803,吉宏股份,互联网
1240,002805.SZ,002805,丰元股份,化工原料
1241,002806.SZ,002806,华锋股份,元器件
1242,002807.SZ,002807,江阴银行,银行
1243,002808.SZ,002808,恒久科技,元器件
1244,002809.SZ,002809,红墙股份,化工原料
1245,002810.SZ,002810,山东赫达,化工原料
1246,002811.SZ,002811,郑中设计,装修装饰
1247,002812.SZ,002812,恩捷股份,塑料
1248,002813.SZ,002813,路畅科技,汽车配件
1249,002815.SZ,002815,崇达技术,元器件
1250,002816.SZ,002816,和科达,专用机械
1251,002817.SZ,002817,黄山胶囊,化学制药
1252,002818.SZ,002818,富森美,其他商业
1253,002819.SZ,002819,东方中科,电器仪表
1254,002820.SZ,002820,桂发祥,食品
1255,002821.SZ,002821,凯莱英,生物制药
1256,002822.SZ,002822,中装建设,装修装饰
1257,002823.SZ,002823,凯中精密,机械基件
1258,002824.SZ,002824,和胜股份,铝
1259,002825.SZ,002825,纳尔股份,化工原料
1260,002826.SZ,002826,易明医药,中成药
1261,002827.SZ,002827,高争民爆,化工原料
1262,002828.SZ,002828,贝肯能源,石油开采
1263,002829.SZ,002829,星网宇达,通信设备
1264,002830.SZ,002830,名雕股份,装修装饰
1265,002831.SZ,002831,裕同科技,广告包装
1266,002832.SZ,002832,比音勒芬,服饰
1267,002833.SZ,002833,弘亚数控,专用机械
1268,002835.SZ,002835,同为股份,元器件
1269,002836.SZ,002836,新宏泽,广告包装
1270,002837.SZ,002837,英维克,专用机械
1271,002838.SZ,002838,道恩股份,塑料
1272,002839.SZ,002839,张家港行,银行
1273,002840.SZ,002840,华统股份,食品
1274,002841.SZ,002841,视源股份,元器件
1275,002842.SZ,002842,翔鹭钨业,小金属
1276,002843.SZ,002843,泰嘉股份,钢加工
1277,002845.SZ,002845,同兴达,元器件
1278,002846.SZ,002846,英联股份,广告包装
1279,002847.SZ,002847,盐津铺子,食品
1280,002848.SZ,002848,高斯贝尔,通信设备
1281,002849.SZ,002849,威星智能,电器仪表
1282,002850.SZ,002850,科达利,机械基件
1283,002851.SZ,002851,麦格米特,电气设备
1284,002852.SZ,002852,道道全,食品
1285,002853.SZ,002853,皮阿诺,家居用品
1286,002855.SZ,002855,捷荣技术,元器件
1287,002856.SZ,002856,美芝股份,装修装饰
1288,002857.SZ,002857,三晖电气,电器仪表
1289,002858.SZ,002858,力盛赛车,文教休闲
1290,002859.SZ,002859,洁美科技,元器件
1291,002860.SZ,002860,星帅尔,电气设备
1292,002861.SZ,002861,瀛通通讯,通信设备
1293,002862.SZ,002862,实丰文化,文教休闲
1294,002863.SZ,002863,今飞凯达,汽车配件
1295,002864.SZ,002864,盘龙药业,中成药
1296,002865.SZ,002865,钧达股份,汽车配件
1297,002866.SZ,002866,传艺科技,IT设备
1298,002867.SZ,002867,周大生,服饰
1299,002868.SZ,002868,绿康生化,农业综合
1300,002869.SZ,002869,金溢科技,通信设备
1301,002870.SZ,002870,香山股份,电器仪表
1302,002871.SZ,002871,伟隆股份,机械基件
1303,002872.SZ,002872,ST天圣,化学制药
1304,002873.SZ,002873,新天药业,中成药
1305,002875.SZ,002875,安奈儿,服饰
1306,002876.SZ,002876,三利谱,元器件
1307,002877.SZ,002877,智能自控,电器仪表
1308,002878.SZ,002878,元隆雅图,文教休闲
1309,002879.SZ,002879,长缆科技,电气设备
1310,002880.SZ,002880,卫光生物,生物制药
1311,002881.SZ,002881,美格智能,通信设备
1312,002882.SZ,002882,金龙羽,电气设备
1313,002883.SZ,002883,中设股份,建筑工程
1314,002884.SZ,002884,凌霄泵业,专用机械
1315,002885.SZ,002885,京泉华,元器件
1316,002886.SZ,002886,沃特股份,塑料
1317,002887.SZ,002887,绿茵生态,环境保护
1318,002888.SZ,002888,惠威科技,元器件
1319,002889.SZ,002889,东方嘉盛,仓储物流
1320,002890.SZ,002890,弘宇股份,农用机械
1321,002891.SZ,002891,中宠股份,饲料
1322,002892.SZ,002892,科力尔,电气设备
1323,002893.SZ,002893,华通热力,供气供热
1324,002895.SZ,002895,川恒股份,化工原料
1325,002896.SZ,002896,中大力德,机械基件
1326,002897.SZ,002897,意华股份,元器件
