,TS代码,股票代码,股票名称,行业
1327,002898.SZ,002898,赛隆药业,化学制药
1328,002899.SZ,002899,英派斯,文教休闲
1329,002900.SZ,002900,哈三联,化学制药
1330,002901.SZ,002901,大博医疗,医疗保健
1331,002902.SZ,002902,铭普光磁,元器件
1332,002903.SZ,002903,宇环数控,机床制造
1333,002905.SZ,002905,金逸影视,影视音像
1334,002906.SZ,002906,华阳集团,汽车配件
1335,002907.SZ,002907,华森制药,化学制药
1336,002908.SZ,002908,德生科技,元器件
1337,002909.SZ,002909,集泰股份,化工原料
1338,002910.SZ,002910,庄园牧场,乳制品
1339,002911.SZ,002911,佛燃能源,供气供热
1340,002912.SZ,002912,中新赛克,软件服务
1341,002913.SZ,002913,奥士康,元器件
1342,002915.SZ,002915,中欣氟材,化工原料
1343,002916.SZ,002916,深南电路,元器件
1344,002917.SZ,002917,金奥博,化工原料
1345,002918.SZ,002918,蒙娜丽莎,其他建材
1346,002919.SZ,002919,名臣健康,日用化工
1347,002920.SZ,002920,德赛西威,汽车配件
1348,002921.SZ,002921,联诚精密,汽车配件
1349,002922.SZ,002922,伊戈尔,电气设备
1350,002923.SZ,002923,润都股份,化学制药
1351,002925.SZ,002925,盈趣科技,元器件
1352,002926.SZ,002926,华西证券,证券
1353,002927.SZ,002927,泰永长征,电气设备
1354,002928.SZ,002928,华夏航空,空运
1355,002929.SZ,002929,润建股份,通信设备
1356,002930.SZ,002930,宏川智慧,仓储物流
1357,002931.SZ,002931,锋龙股份,汽车配件
1358,002932.SZ,002932,明德生物,医疗保健
1359,002933.SZ,002933,新兴装备,航空
1360,002935.SZ,002935,天奥电子,元器件
1361,002936.SZ,002936,郑州银行,银行
1362,002937.SZ,002937,兴瑞科技,元器件
1363,002938.SZ,002938,鹏鼎控股,元器件
1364,002939.SZ,002939,长城证券,证券
1365,002940.SZ,002940,昂利康,化学制药
1366,002941.SZ,002941,新疆交建,建筑工程
1367,002942.SZ,002942,新农股份,农药化肥
1368,002943.SZ,002943,宇晶股份,机床制造
1369,002945.SZ,002945,华林证券,证券
1370,002946.SZ,002946,新乳业,乳制品
1371,002947.SZ,002947,恒铭达,元器件
1372,002948.SZ,002948,青岛银行,银行
1373,002949.SZ,002949,华阳国际,建筑工程
1374,002950.SZ,002950,奥美医疗,医疗保健
1375,002951.SZ,002951,金时科技,广告包装
1376,002952.SZ,002952,亚世光电,元器件
1377,002953.SZ,002953,日丰股份,电气设备
1378,002955.SZ,002955,鸿合科技,IT设备
1379,002956.SZ,002956,西麦食品,食品
1380,002957.SZ,002957,科瑞技术,专用机械
1381,002958.SZ,002958,青农商行,银行
1382,002959.SZ,002959,小熊电器,家用电器
1383,002960.SZ,002960,青鸟消防,专用机械
1384,002961.SZ,002961,瑞达期货,多元金融
1385,002962.SZ,002962,五方光电,元器件
1386,002963.SZ,002963,豪尔赛,装修装饰
1387,002965.SZ,002965,祥鑫科技,汽车配件
1388,002966.SZ,002966,苏州银行,银行
1389,002967.SZ,002967,广电计量,综合类
1390,002968.SZ,002968,新大正,房产服务
1391,002969.SZ,002969,嘉美包装,广告包装
1392,002970.SZ,002970,锐明技术,通信设备
1393,002971.SZ,002971,和远气体,化工原料
1394,002972.SZ,002972,科安达,运输设备
1395,002973.SZ,002973,侨银股份,环境保护
1396,002975.SZ,002975,博杰股份,专用机械
1397,002976.SZ,002976,瑞玛工业,元器件
1398,002977.SZ,002977,天箭科技,通信设备
1399,002978.SZ,002978,安宁股份,小金属
1400,002979.SZ,002979,雷赛智能,专用机械
1401,002980.SZ,002980,华盛昌,电器仪表
1402,002981.SZ,002981,朝阳科技,元器件
1403,002982.SZ,002982,湘佳股份,农业综合
1404,002983.SZ,002983,芯瑞达,元器件
1405,002984.SZ,002984,森麒麟,汽车配件
1406,002985.SZ,002985,北摩高科,航空
1407,002986.SZ,002986,宇新股份,化工原料
1408,002987.SZ,002987,京北方,软件服务
1409,002988.SZ,002988,豪美新材,铝
1410,002989.SZ,002989,中天精装,装修装饰
1411,002990.SZ,002990,盛视科技,软件服务
1412,002991.SZ,002991,甘源食品,食品
1413,002992.SZ,002992,宝明科技,元器件
1414,002993.SZ,002993,奥海科技,元器件
1415,002995.SZ,002995,天地在线,互联网
1416,002996.SZ,002996,顺博合金,铝
1417,002997.SZ,002997,瑞鹄模具,汽车配件
1418,002998.SZ,002998,优彩资源,化纤
1419,002999.SZ,002999,天禾股份,批发业
1420,003000.SZ,003000,劲仔食品,食品
1421,003001.SZ,003001,中岩大地,建筑工程
1422,003002.SZ,003002,壶化股份,化工原料
1423,003003.SZ,003003,天元股份,广告包装
1424,003004.SZ,003004,声迅股份,软件服务
1425,003005.SZ,003005,竞业达,软件服务
1426,003006.SZ,003006,百亚股份,造纸
1427,003007.SZ,003007,直真科技,软件服务
1428,003008.SZ,003008,开普检测,电气设备
1429,003009.SZ,003009,中天火箭,航空
1430,003010.SZ,003010,若羽臣,互联网
1431,003011.SZ,003011,海象新材,家居用品
1432,003012.SZ,003012,东鹏控股,陶瓷
1433,003013.SZ,003013,地铁设计,建筑工程
1434,003015.SZ,003015,日久光电,元器件
1435,003016.SZ,003016,欣贺股份,服饰
1436,003017.SZ,003017,大洋生物,化工原料
1437,003018.SZ,003018,金富科技,塑料
1438,003019.SZ,003019,宸展光电,元器件
1439,003020.SZ,003020,立方制药,化学制药
1440,003021.SZ,003021,兆威机电,元器件
1441,003022.SZ,003022,联泓新科,化工原料
1442,003023.SZ,003023,彩虹集团,家用电器
1443,003025.SZ,003025,思进智能,机械基件
1444,003026.SZ,003026,中晶科技,半导体
1445,003027.SZ,003027,同兴环保,环境保护
1446,003028.SZ,003028,振邦智能,元器件
1447,003029.SZ,003029,吉大正元,软件服务
1448,003030.SZ,003030,祖名股份,食品
1449,003031.SZ,003031,中瓷电子,元器件
1450,003032.SZ,003032,传智教育,文教休闲
1451,003033.SZ,003033,征和工业,机械基件
1452,003035.SZ,003035,南网能源,新型电力
1453,003036.SZ,003036,泰坦股份,纺织机械
1454,003037.SZ,003037,三和管桩,水泥
1455,003038.SZ,003038,鑫铂股份,铝
1456,003039.SZ,003039,顺控发展,水务
1457,003040.SZ,003040,楚天龙,元器件
1458,003041.SZ,003041,真爱美家,纺织
1459,003042.SZ,003042,中农联合,农药化肥
1460,003043.SZ,003043,华亚智能,专用机械
1461,003816.SZ,003816,中国广核,新型电力
1462,300001.SZ,300001,特锐德,电气设备
1463,300002.SZ,300002,神州泰岳,软件服务
